Year,Topic groups,Topic categories 1,Topic categories 2,Topic categories 3,Suppression,Total,County totals
2017,Contraceptive use and living children by age of patient,Ages 15-19,Oral contraception,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Other contraception,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Rhythm method,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Unknown contraception use,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Condom/prophylactic,Three children,,3,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Contraceptive ring,Three children,,3,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Emergency contraception,Three children,,1,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Multiple forms,Three children,,1,
2017,Contraceptive use and living children by age of patient,Ages 20-24,No contraception use,Three children,,37,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Oral contraception,Three children,,4,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Other contraception,Three children,,4,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Rhythm method,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Unknown contraception use,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Condom/prophylactic,Three children,,24,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Contraceptive ring,Three children,,3,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Emergency contraception,Three children,,4,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Multiple forms,Three children,,4,
2017,Contraceptive use and living children by age of patient,Ages 25-29,No contraception use,Three children,,136,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Oral contraception,Three children,,15,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Other contraception,Three children,,9,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Rhythm method,Three children,,1,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Unknown contraception use,Three children,,7,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Condom/prophylactic,Three children,,19,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Contraceptive ring,Three children,,3,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Emergency contraception,Three children,,4,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Multiple forms,Three children,,2,
2017,Contraceptive use and living children by age of patient,Ages 30-34,No contraception use,Three children,,117,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Oral contraception,Three children,,21,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Other contraception,Three children,,9,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Rhythm method,Three children,,1,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Unknown contraception use,Three children,,3,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Condom/prophylactic,Three children,,21,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Contraceptive ring,Three children,,3,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Emergency contraception,Three children,,2,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Multiple forms,Three children,,1,
2017,Contraceptive use and living children by age of patient,Ages 35-39,No contraception use,Three children,,69,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Oral contraception,Three children,,10,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Other contraception,Three children,,4,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Rhythm method,Three children,,4,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Unknown contraception use,Three children,,2,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Condom/prophylactic,Three children,,6,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Contraceptive ring,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Emergency contraception,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Multiple forms,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,No contraception use,Three children,,34,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Oral contraception,Three children,,3,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Other contraception,Three children,,2,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Rhythm method,Three children,,2,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Unknown contraception use,Three children,,1,
2017,Contraceptive use and living children by age of patient,Ages 45+,Condom/prophylactic,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Contraceptive ring,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Emergency contraception,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Multiple forms,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,No contraception use,Three children,,4,
2017,Contraceptive use and living children by age of patient,Ages 45+,Oral contraception,Three children,,1,
2017,Contraceptive use and living children by age of patient,Ages 45+,Other contraception,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Rhythm method,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Unknown contraception use,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Condom/prophylactic,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Contraceptive ring,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Emergency contraception,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Multiple forms,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,No contraception use,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Oral contraception,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Other contraception,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Rhythm method,Three children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Unknown contraception use,Three children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Condom/prophylactic,Two children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Contraceptive ring,Two children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Emergency contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Multiple forms,Two children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,No contraception use,Two children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Oral contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Other contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Rhythm method,Two children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Unknown contraception use,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Condom/prophylactic,Two children,,1,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Contraceptive ring,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Emergency contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Multiple forms,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,No contraception use,Two children,,4,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Oral contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Other contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Rhythm method,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Unknown contraception use,Two children,,1,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Condom/prophylactic,Two children,,26,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Contraceptive ring,Two children,,5,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Emergency contraception,Two children,,5,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Multiple forms,Two children,,4,
2017,Contraceptive use and living children by age of patient,Ages 20-24,No contraception use,Two children,,179,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Oral contraception,Two children,,23,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Other contraception,Two children,,13,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Rhythm method,Two children,,1,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Unknown contraception use,Two children,,14,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Condom/prophylactic,Two children,,41,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Contraceptive ring,Two children,,7,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Emergency contraception,Two children,,4,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Multiple forms,Two children,,3,
2017,Contraceptive use and living children by age of patient,Ages 25-29,No contraception use,Two children,,275,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Oral contraception,Two children,,51,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Other contraception,Two children,,20,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Rhythm method,Two children,,3,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Unknown contraception use,Two children,,21,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Condom/prophylactic,Two children,,49,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Contraceptive ring,Two children,,7,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Emergency contraception,Two children,,4,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Multiple forms,Two children,,10,
2017,Contraceptive use and living children by age of patient,Ages 30-34,No contraception use,Two children,,240,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Oral contraception,Two children,,24,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Other contraception,Two children,,18,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Rhythm method,Two children,,7,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Unknown contraception use,Two children,,15,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Condom/prophylactic,Two children,,48,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Contraceptive ring,Two children,,3,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Emergency contraception,Two children,,10,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Multiple forms,Two children,,6,
2017,Contraceptive use and living children by age of patient,Ages 35-39,No contraception use,Two children,,164,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Oral contraception,Two children,,23,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Other contraception,Two children,,14,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Rhythm method,Two children,,5,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Unknown contraception use,Two children,,7,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Condom/prophylactic,Two children,,11,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Contraceptive ring,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Emergency contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Multiple forms,Two children,,2,
2017,Contraceptive use and living children by age of patient,Ages 40-44,No contraception use,Two children,,70,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Oral contraception,Two children,,4,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Other contraception,Two children,,3,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Rhythm method,Two children,,4,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Unknown contraception use,Two children,,6,
2017,Contraceptive use and living children by age of patient,Ages 45+,Condom/prophylactic,Two children,,1,
2017,Contraceptive use and living children by age of patient,Ages 45+,Contraceptive ring,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Emergency contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Multiple forms,Two children,,1,
2017,Contraceptive use and living children by age of patient,Ages 45+,No contraception use,Two children,,3,
2017,Contraceptive use and living children by age of patient,Ages 45+,Oral contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Other contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Rhythm method,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Unknown contraception use,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Condom/prophylactic,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Contraceptive ring,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Emergency contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Multiple forms,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,No contraception use,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Oral contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Other contraception,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Rhythm method,Two children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Unknown contraception use,Two children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Condom/prophylactic,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Contraceptive ring,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Emergency contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Multiple forms,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,No contraception use,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Oral contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Other contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Rhythm method,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Age unknown,Unknown contraception use,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Condom/prophylactic,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Contraceptive ring,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Emergency contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Multiple forms,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,No contraception use,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Oral contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Other contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Rhythm method,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 15-19,Unknown contraception use,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Condom/prophylactic,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Contraceptive ring,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Emergency contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Multiple forms,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 20-24,No contraception use,Unknown children,,2,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Oral contraception,Unknown children,,1,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Other contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Rhythm method,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 20-24,Unknown contraception use,Unknown children,,1,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Condom/prophylactic,Unknown children,,1,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Contraceptive ring,Unknown children,,1,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Emergency contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Multiple forms,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 25-29,No contraception use,Unknown children,,1,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Oral contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Other contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Rhythm method,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 25-29,Unknown contraception use,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Condom/prophylactic,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Contraceptive ring,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Emergency contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Multiple forms,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 30-34,No contraception use,Unknown children,,1,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Oral contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Other contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Rhythm method,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 30-34,Unknown contraception use,Unknown children,,1,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Condom/prophylactic,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Contraceptive ring,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Emergency contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Multiple forms,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 35-39,No contraception use,Unknown children,,1,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Oral contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Other contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Rhythm method,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 35-39,Unknown contraception use,Unknown children,,1,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Condom/prophylactic,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Contraceptive ring,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Emergency contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Multiple forms,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,No contraception use,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Oral contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Other contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Rhythm method,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 40-44,Unknown contraception use,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Condom/prophylactic,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Contraceptive ring,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Emergency contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Multiple forms,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,No contraception use,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Oral contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Other contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Rhythm method,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages 45+,Unknown contraception use,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Condom/prophylactic,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Contraceptive ring,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Emergency contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Multiple forms,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,No contraception use,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Oral contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Other contraception,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Rhythm method,Unknown children,,0,
2017,Contraceptive use and living children by age of patient,Ages <15,Unknown contraception use,Unknown children,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Condom/prophylactic,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Contraceptive ring,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Emergency contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Multiple forms,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,No contraception use,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Oral contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Other contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Rhythm method,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Unknown contraception use,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 15-19,Condom/prophylactic,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 15-19,Contraceptive ring,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 15-19,Emergency contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 15-19,Multiple forms,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 15-19,No contraception use,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 15-19,Oral contraception,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 15-19,Other contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 15-19,Rhythm method,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 15-19,Unknown contraception use,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 20-24,Condom/prophylactic,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 20-24,Contraceptive ring,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 20-24,Emergency contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 20-24,Multiple forms,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 20-24,No contraception use,Four or more abortions,,16,
2017,Contraceptive use and previous abortions by age of patient,Ages 20-24,Oral contraception,Four or more abortions,,2,
2017,Contraceptive use and previous abortions by age of patient,Ages 20-24,Other contraception,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 20-24,Rhythm method,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 20-24,Unknown contraception use,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 25-29,Condom/prophylactic,Four or more abortions,,6,
2017,Contraceptive use and previous abortions by age of patient,Ages 25-29,Contraceptive ring,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 25-29,Emergency contraception,Four or more abortions,,2,
2017,Contraceptive use and previous abortions by age of patient,Ages 25-29,Multiple forms,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 25-29,No contraception use,Four or more abortions,,48,
2017,Contraceptive use and previous abortions by age of patient,Ages 25-29,Oral contraception,Four or more abortions,,9,
2017,Contraceptive use and previous abortions by age of patient,Ages 25-29,Other contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 25-29,Rhythm method,Four or more abortions,,2,
2017,Contraceptive use and previous abortions by age of patient,Ages 25-29,Unknown contraception use,Four or more abortions,,3,
2017,Contraceptive use and previous abortions by age of patient,Ages 30-34,Condom/prophylactic,Four or more abortions,,3,
2017,Contraceptive use and previous abortions by age of patient,Ages 30-34,Contraceptive ring,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 30-34,Emergency contraception,Four or more abortions,,2,
2017,Contraceptive use and previous abortions by age of patient,Ages 30-34,Multiple forms,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 30-34,No contraception use,Four or more abortions,,49,
2017,Contraceptive use and previous abortions by age of patient,Ages 30-34,Oral contraception,Four or more abortions,,7,
2017,Contraceptive use and previous abortions by age of patient,Ages 30-34,Other contraception,Four or more abortions,,6,
2017,Contraceptive use and previous abortions by age of patient,Ages 30-34,Rhythm method,Four or more abortions,,2,
2017,Contraceptive use and previous abortions by age of patient,Ages 30-34,Unknown contraception use,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 35-39,Condom/prophylactic,Four or more abortions,,8,
2017,Contraceptive use and previous abortions by age of patient,Ages 35-39,Contraceptive ring,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 35-39,Emergency contraception,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 35-39,Multiple forms,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 35-39,No contraception use,Four or more abortions,,34,
2017,Contraceptive use and previous abortions by age of patient,Ages 35-39,Oral contraception,Four or more abortions,,4,
2017,Contraceptive use and previous abortions by age of patient,Ages 35-39,Other contraception,Four or more abortions,,4,
2017,Contraceptive use and previous abortions by age of patient,Ages 35-39,Rhythm method,Four or more abortions,,3,
2017,Contraceptive use and previous abortions by age of patient,Ages 35-39,Unknown contraception use,Four or more abortions,,2,
2017,Contraceptive use and previous abortions by age of patient,Ages 40-44,Condom/prophylactic,Four or more abortions,,3,
2017,Contraceptive use and previous abortions by age of patient,Ages 40-44,Contraceptive ring,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 40-44,Emergency contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 40-44,Multiple forms,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 40-44,No contraception use,Four or more abortions,,8,
2017,Contraceptive use and previous abortions by age of patient,Ages 40-44,Oral contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 40-44,Other contraception,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 40-44,Rhythm method,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 40-44,Unknown contraception use,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 45+,Condom/prophylactic,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 45+,Contraceptive ring,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 45+,Emergency contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 45+,Multiple forms,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 45+,No contraception use,Four or more abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Ages 45+,Oral contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 45+,Other contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 45+,Rhythm method,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages 45+,Unknown contraception use,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages <15,Condom/prophylactic,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages <15,Contraceptive ring,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages <15,Emergency contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages <15,Multiple forms,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages <15,No contraception use,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages <15,Oral contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages <15,Other contraception,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages <15,Rhythm method,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Ages <15,Unknown contraception use,Four or more abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Condom/prophylactic,No previous abortions,,1,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Contraceptive ring,No previous abortions,,0,
2017,Contraceptive use and previous abortions by age of patient,Age unknown,Emergency contraception,No previous abortions,,0,
